datetime,open,high,low,close
2026-08-08 16:15:00+00:00,4342.26444,4342.45614,4342.19911,4342.36307
2026-08-08 16:20:00+00:00,4342.26871,4342.45816,4342.22168,4342.33799
2026-08-08 16:25:00+00:00,4342.26401,4342.45934,4342.21211,4342.23729
2026-08-08 16:30:00+00:00,4342.26725,4342.44015,4342.20659,4342.3271
2026-08-08 16:35:00+00:00,4342.26413,4342.44622,4342.19618,4342.35883
2026-08-08 16:40:00+00:00,4342.2627,4342.45533,4342.2115,4342.33109
2026-08-08 16:45:00+00:00,4342.26038,4342.45419,4342.2114,4342.23047
2026-08-08 16:50:00+00:00,4342.26195,4342.44232,4342.19862,4342.32777
2026-08-08 16:55:00+00:00,4342.26049,4342.44669,4342.20163,4342.36531
2026-08-08 17:00:00+00:00,4342.26873,4342.46263,4342.21046,4342.34176
2026-08-08 17:05:00+00:00,4342.26606,4342.4558,4342.22248,4342.23555
2026-08-08 17:10:00+00:00,4342.26723,4342.45047,4342.20311,4342.33096
2026-08-08 17:15:00+00:00,4342.26425,4342.44062,4342.2044,4342.36567
2026-08-08 17:20:00+00:00,4342.26874,4342.46336,4342.1624,4342.33605
2026-08-08 17:25:00+00:00,4342.25855,4342.44444,4342.1624,4342.18335
2026-08-08 17:30:00+00:00,4342.25516,4342.44717,4342.1624,4342.33064
2026-08-08 17:35:00+00:00,4342.25669,4342.42364,4342.1624,4342.35607
2026-08-08 17:40:00+00:00,4342.25856,4342.45171,4342.1624,4342.34536
2026-08-08 17:45:00+00:00,4342.26044,4342.44426,4342.23021,4342.23021
2026-08-08 17:50:00+00:00,4342.26195,4342.45339,4342.19809,4342.33379
2026-08-08 17:55:00+00:00,4342.26039,4342.42,4342.20939,4342.35918
2026-08-08 18:00:00+00:00,4342.2627,4342.45604,4342.19678,4342.34757
2026-08-08 18:05:00+00:00,4342.2603,4342.43492,4342.1624,4342.22553
2026-08-08 18:10:00+00:00,4342.25667,4342.45144,4342.1624,4342.33462
2026-08-08 18:15:00+00:00,4342.25676,4342.40362,4342.1624,4342.3504
2026-08-08 18:20:00+00:00,4342.25442,4342.44603,4342.1624,4342.34972
2026-08-08 18:25:00+00:00,4342.25657,4342.4308,4342.1624,4342.22882
2026-08-08 18:30:00+00:00,4342.25856,4342.45583,4342.20097,4342.31325
2026-08-08 18:35:00+00:00,4342.26044,4342.40054,4342.2217,4342.35445
2026-08-08 18:40:00+00:00,4342.26044,4342.45072,4342.19536,4342.35872
2026-08-08 18:45:00+00:00,4342.26044,4342.42587,4342.23258,4342.23258
2026-08-08 18:50:00+00:00,4342.26044,4342.4555,4342.19895,4342.31864
2026-08-08 18:55:00+00:00,4342.26044,4342.39085,4342.22905,4342.35231
2026-08-08 19:00:00+00:00,4342.26044,4342.45531,4342.19617,4342.36379
2026-08-08 19:05:00+00:00,4342.2606,4342.4202,4342.23679,4342.23679
2026-08-08 19:10:00+00:00,4342.26233,4342.45224,4342.1624,4342.3186
2026-08-08 19:15:00+00:00,4342.25497,4342.38053,4342.1624,4342.34191
2026-08-08 19:20:00+00:00,4342.2529,4342.45335,4342.1624,4342.25728
2026-08-08 19:25:00+00:00,4342.25875,4342.40969,4342.1624,4342.23779
2026-08-08 19:30:00+00:00,4342.26044,4342.44981,4342.1624,4342.34198
2026-08-08 19:35:00+00:00,4342.25688,4342.39394,4342.1624,4342.34085
2026-08-08 19:40:00+00:00,4342.25448,4342.45018,4342.1624,4342.19334
2026-08-08 19:45:00+00:00,4342.25645,4342.39621,4342.1624,4342.188
2026-08-08 19:50:00+00:00,4342.25509,4342.44714,4342.1624,4342.3436
2026-08-08 19:55:00+00:00,4342.25691,4342.40324,4342.1624,4342.33736
2026-08-08 20:00:00+00:00,4342.2545,4342.45358,4342.1624,4342.25037
2026-08-08 20:05:00+00:00,4342.26044,4342.39089,4342.24029,4342.24473
2026-08-08 20:10:00+00:00,4342.26044,4342.45342,4342.19619,4342.33779
2026-08-08 20:15:00+00:00,4342.26044,4342.41513,4342.26009,4342.34753
2026-08-08 20:20:00+00:00,4342.2626,4342.45032,4342.1624,4342.24216
2026-08-08 20:25:00+00:00,4342.2564,4342.38383,4342.1624,4342.19071
2026-08-08 20:30:00+00:00,4342.25504,4342.45143,4342.1624,4342.34651
2026-08-08 20:35:00+00:00,4342.25695,4342.41985,4342.1624,4342.32924
2026-08-08 20:40:00+00:00,4342.25454,4342.44605,4342.1624,4342.18899
2026-08-08 20:45:00+00:00,4342.25638,4342.39181,4342.1624,4342.19226
2026-08-08 20:50:00+00:00,4342.25501,4342.45207,4342.1624,4342.34776
